bond,sector,duration,convexity,var,expectedshortfall,issuer,rating,yield,spread,maturity_date,face_value,market_value,coupon_rate,issue_date,bid_ask_spread,trading_volume
AAPL2025,Technology,2.1,8.5,850,1275,Apple Inc,AA+,3.2,45,2025-12-15,1000000,1020000,3.0,2022-01-15,0.05,45000
MSFT2027,Technology,3.8,15.2,920,1380,Microsoft Corp,AAA,2.8,35,2027-06-30,1500000,1535000,2.5,2021-06-30,0.03,68000
GOOGL2026,Technology,2.9,11.3,780,1170,Alphabet Inc,AA,3.1,42,2026-09-15,800000,815000,2.9,2021-09-15,0.04,35000
AMZN2028,Technology,4.1,17.9,1050,1575,Amazon.com Inc,A+,3.6,58,2028-11-22,1200000,1195000,3.4,2023-11-22,0.06,52000
META2026,Technology,3.2,13.4,890,1335,Meta Platforms Inc,A,3.8,72,2026-03-10,900000,885000,3.6,2022-03-10,0.08,28000
JPM2028,Finance,4.2,18.7,1100,1650,JPMorgan Chase & Co,A+,4.1,85,2028-03-20,2000000,1980000,3.8,2023-03-20,0.04,75000
BAC2029,Finance,4.8,22.1,1250,1875,Bank of America Corp,A,4.5,95,2029-11-10,1200000,1185000,4.2,2024-11-10,0.05,58000
WFC2026,Finance,3.5,14.8,980,1470,Wells Fargo & Co,A-,4.2,88,2026-08-25,1000000,995000,3.9,2021-08-25,0.06,42000
GS2027,Finance,3.9,16.5,1180,1770,Goldman Sachs Group Inc,A,4.3,92,2027-05-12,1500000,1485000,4.0,2022-05-12,0.05,65000
MS2030,Finance,5.2,25.1,1320,1980,Morgan Stanley,A,4.6,105,2030-01-28,1100000,1075000,4.3,2025-01-28,0.07,38000
JNJ2030,Healthcare,5.1,24.6,1050,1575,Johnson & Johnson,AAA,3.5,55,2030-04-12,1800000,1825000,3.2,2025-04-12,0.02,82000
PFE2027,Healthcare,3.7,16.4,890,1335,Pfizer Inc,A+,3.8,68,2027-10-05,1100000,1095000,3.5,2022-10-05,0.04,48000
UNH2029,Healthcare,4.6,20.9,1180,1770,UnitedHealth Group Inc,AA-,3.9,72,2029-07-18,1600000,1615000,3.6,2024-07-18,0.03,62000
ABBV2026,Healthcare,3.3,14.1,950,1425,AbbVie Inc,A+,3.7,65,2026-12-03,1000000,998000,3.4,2021-12-03,0.05,41000
MRK2028,Healthcare,4.4,19.8,1020,1530,Merck & Co Inc,AA-,3.6,62,2028-08-15,1300000,1305000,3.3,2023-08-15,0.04,55000
XOM2026,Energy,3.2,13.1,1320,1980,Exxon Mobil Corp,A,4.8,125,2026-12-03,1400000,1375000,4.5,2021-12-03,0.08,35000
CVX2028,Energy,4.1,17.8,1280,1920,Chevron Corp,AA-,4.5,115,2028-05-22,1300000,1295000,4.2,2023-05-22,0.07,42000
COP2027,Energy,3.6,15.5,1150,1725,ConocoPhillips,A+,4.6,118,2027-01-30,900000,885000,4.3,2022-01-30,0.09,28000
SLB2029,Energy,4.7,21.3,1420,2130,SLB,A-,5.1,148,2029-10-08,800000,765000,4.8,2024-10-08,0.12,22000
EOG2026,Energy,3.4,14.6,1050,1575,EOG Resources Inc,A,4.4,108,2026-06-18,700000,692000,4.1,2021-06-18,0.10,25000
KO2025,Consumer,2.3,9.2,680,1020,Coca-Cola Co,AA,2.9,38,2025-11-08,700000,705000,2.7,2022-11-08,0.03,65000
PG2029,Consumer,4.9,23.4,820,1230,Procter & Gamble Co,AA+,3.3,48,2029-02-14,1000000,1010000,3.0,2024-02-14,0.02,72000
WMT2026,Consumer,3.1,12.6,750,1125,Walmart Inc,AA,3.6,62,2026-06-12,1200000,1195000,3.3,2021-06-12,0.04,58000
PEP2028,Consumer,4.3,19.2,890,1335,PepsiCo Inc,AA-,3.4,52,2028-09-25,1100000,1108000,3.1,2023-09-25,0.03,48000
MCD2027,Consumer,3.8,16.7,720,1080,McDonald's Corp,A+,3.2,45,2027-04-20,900000,912000,2.9,2022-04-20,0.04,38000
DIS2028,Media,4.3,19.1,1050,1575,Walt Disney Co,A,4.3,98,2028-09-28,800000,790000,4.0,2023-09-28,0.08,32000
NFLX2027,Media,3.4,14.2,980,1470,Netflix Inc,A-,4.7,135,2027-03-15,600000,585000,4.4,2022-03-15,0.12,18000
CMCSA2029,Media,4.8,22.4,1180,1770,Comcast Corp,A,4.2,88,2029-12-10,1000000,985000,3.9,2024-12-10,0.06,35000
VZ2029,Telecom,4.7,21.5,1220,1830,Verizon Communications Inc,A-,4.8,145,2029-12-20,1100000,1085000,4.5,2024-12-20,0.07,28000
T2030,Telecom,5.4,26.8,1380,2070,AT&T Inc,BBB+,5.2,185,2030-08-07,1500000,1465000,4.9,2025-08-07,0.10,22000
TSLA2026,Automotive,3.3,13.7,1450,2175,Tesla Inc,B+,6.2,285,2026-04-18,500000,475000,5.8,2021-04-18,0.15,15000
